plant_name,status,country,city,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
KCCCI First Floor,,Malaysia,KLANG,27/3/2025,15.34,1.37,2.58,39.64,19219.92,2.58,32,2.3525,2.11725,Normal,9.67,FALSE
KCCCI Ground Floor,,Malaysia,KLANG,27/3/2025,3.54,0.32,2.46,8.7,4071.29,2.46,32,2.3525,2.11725,Normal,4.57,FALSE
Kamma Klang Enterprise,,Malaysia,KLANG,28/3/2023,88,7.31,3.02,266.1,325374.74,3.02,32,2.3525,2.11725,Normal,28.37,FALSE
Kwang Hua Persendirian  meter  2-3-4-5-6,,Malaysia,KLANG,4/3/2022,302.475,21.51,1.85,558.24,1087722.07,1.85,32,2.3525,2.11725,Underperforming,-21.36,TRUE
Lian Teck Seng Lot 11,,Malaysia,KLANG,6/5/2025,18.04,0,0,0,0,0,32,2.3525,2.11725,Underperforming,-100,TRUE
MEWAH OILS SDN BHD,,Malaysia,KLANG,1/12/2025,220.1,0,0,0,0,0,32,2.3525,2.11725,Underperforming,-100,TRUE
MIAW FRESH,,Malaysia,KLANG,31/5/2024,24.57,3.32,2.8,68.73,54493.67,2.8,32,2.3525,2.11725,Normal,19.02,FALSE
Maxtwo Engineering (Factory),,Malaysia,KLANG,21/4/2025,35.38,5.75,2.7,95.56,31147.91,2.7,32,2.3525,2.11725,Normal,14.77,FALSE
PKT THE SHIP,,Malaysia,KLANG,21/1/2025,1068.21,71.81,0.28,299.17,1136464.9,0.28,32,2.3525,2.11725,Underperforming,-88.1,TRUE
ROYAL KLANG CLUB,,Malaysia,KLANG,14/7/2025,91.76,8.1,2.22,204.14,75738.9,2.22,32,2.3525,2.11725,Normal,-5.63,FALSE
RS POLY INDUSTRY,,Malaysia,KLANG,2/8/2024,727.155,144.59,2.69,1959.35,1341310.58,2.69,32,2.3525,2.11725,Normal,14.35,FALSE
SIME KANSAI PAINT SDN BHD,,Malaysia,KLANG,17/9/2025,123.825,12.6,2.55,315.38,85378.79,2.55,32,2.3525,2.11725,Normal,8.4,FALSE
