plant_name,status,country,city,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
BM COCO PALM,,Malaysia,RENGIT,29/10/2023,25.52,8.66,3.64,92.81,78167.67,3.64,3,3.733333333,3.36,Normal,-2.5,FALSE
Chong Hwa SBR Rengit,,Malaysia,RENGIT,28/5/2024,25.155,8.92,4.06,102.1,54341.07,4.06,3,3.733333333,3.36,Normal,8.75,FALSE
SUPERCOWBOY (SEGAMAT),,Malaysia,SEGAMAT,23/7/2025,250.75,33.3,3.39,849.73,231348.27,3.39,1,3.39,3.051,No comparison required,0,FALSE
Dong Sing Food Link Sdn Bhd,,Malaysia,SEMENYIH,8/12/2025,71.92,2.62,2.72,195.91,23529.87,2.72,8,3.34,3.006,Underperforming,-18.56,TRUE
FOX ONE MARKETING SDN BHD,,Malaysia,SEMENYIH,6/1/2025,91.5,2.61,3.3,302.15,107650.99,3.3,8,3.34,3.006,Normal,-1.2,FALSE
P.A Food Sdn Bhd 2ATKT,,Malaysia,SEMENYIH,5/8/2024,47.97,1.49,3.82,183.18,92036.11,3.82,8,3.34,3.006,Normal,14.37,FALSE
P.A Food Sdn Bhd Lot 10,,Malaysia,SEMENYIH,5/8/2024,52.65,1.74,3.34,175.69,96204.37,3.34,8,3.34,3.006,Normal,0,FALSE
P.A Food Sdn Bhd Lot 12,,Malaysia,SEMENYIH,5/8/2024,51.48,1.53,3.15,162.07,87815.61,3.15,8,3.34,3.006,Normal,-5.69,FALSE
P.A. Food Warehouse No. 9,,Malaysia,SEMENYIH,28/8/2024,21.06,0.57,3.72,78.41,39011.88,3.72,8,3.34,3.006,Normal,11.38,FALSE
YAN JIAN 2,,Malaysia,SEMENYIH,8/8/2025,63.86,1.98,3.4,217.38,46540.16,3.4,8,3.34,3.006,Normal,1.8,FALSE
YAN JIAN 2A,,Malaysia,SEMENYIH,8/8/2025,74.4,2.28,3.27,243.41,64493.56,3.27,8,3.34,3.006,Normal,-2.1,FALSE
Lybase Sdn Bhd,,Malaysia,SENAI,4/11/2024,400.14,131.66,3.91,1564.2,380544.67,3.91,2,3.31,2.979,Normal,18.13,FALSE
SUPERMICRO COMPUTER SDN BHD,,Malaysia,SENAI,16/8/2025,2550.85,334.09,2.71,6906.75,1439699.25,2.71,2,3.31,2.979,Underperforming,-18.13,TRUE
Enge Plas,,Malaysia,SENAWANG,10/12/2024,302.4,63.32,4.05,1226.19,433196.07,4.05,1,4.05,3.645,No comparison required,0,FALSE
CIC CONTRACT SDN BHD,,Malaysia,SERI KEMBANGAN,14/12/2023,20.475,0.29,3.65,74.7,57111.02,3.65,1,3.65,3.285,No comparison required,0,FALSE
BJC FOOD (MALAYSIA) SDN. BHD.,,Malaysia,SHAH ALAM,10/1/2023,320.46,10.41,2.09,668.16,1077574.77,2.09,13,1.913846154,1.722461538,Normal,9.2,FALSE
KUASA BAKTI (PETRON SETIA ALAM),,Malaysia,SHAH ALAM,27/8/2025,44.64,5.64,1.98,88.3,24653.16,1.98,13,1.913846154,1.722461538,Normal,3.46,FALSE
Marbach Asia Pacific Lot17,,Malaysia,SHAH ALAM,26/12/2024,50.02,1.82,1.98,99.08,72801.06,1.98,13,1.913846154,1.722461538,Normal,3.46,FALSE
Marbach Asia Pacific lot 15,,Malaysia,SHAH ALAM,26/12/2024,50.05,1.75,2.03,101.7,75244.67,2.03,13,1.913846154,1.722461538,Normal,6.07,FALSE
Mitsui Copper Foil P3,,Malaysia,SHAH ALAM,26/6/2025,706.33,25.13,2.81,1982.49,660310.45,2.81,13,1.913846154,1.722461538,Normal,46.82,FALSE
New Age 160,,Malaysia,SHAH ALAM,17/12/2024,166.67,9.99,1.73,288.83,263746.09,1.73,13,1.913846154,1.722461538,Normal,-9.61,FALSE
New Age 510,,Malaysia,SHAH ALAM,18/11/2024,127.92,8.01,1.77,226.72,235397.84,1.77,13,1.913846154,1.722461538,Normal,-7.52,FALSE
PKT 8 WAVES,,Malaysia,SHAH ALAM,13/8/2024,176.67,12.8,0.24,41.68,239225.4,0.24,13,1.913846154,1.722461538,Underperforming,-87.46,TRUE
QL Maxincome,,Malaysia,SHAH ALAM,5/3/2025,79.3,2.96,2.05,162.29,102023.18,2.05,13,1.913846154,1.722461538,Normal,7.11,FALSE
Ql Lot 14,,Malaysia,SHAH ALAM,24/2/2025,61.61,2.24,2.02,124.66,76898.89,2.02,13,1.913846154,1.722461538,Normal,5.55,FALSE
Ql Lot 16,,Malaysia,SHAH ALAM,1/3/2025,64.05,2.2,2.02,129.08,78558.05,2.02,13,1.913846154,1.722461538,Normal,5.55,FALSE
San Soon Seng Food Industries Sdn Bhd,,Malaysia,SHAH ALAM,2/10/2025,1292.7,38.31,2.21,2852.33,571860.43,2.21,13,1.913846154,1.722461538,Normal,15.47,FALSE
Succesfuel Sdn. Bhd.,,Malaysia,SHAH ALAM,22/10/2024,90.86,11.77,1.95,177.15,149976.62,1.95,13,1.913846154,1.722461538,Normal,1.89,FALSE
FURUTEC,,Malaysia,SIMPANG AMPAT,6/7/2024,132.21,59.11,3.61,477.85,279471.28,3.61,3,3.64,3.276,Normal,-0.82,FALSE
Perbadanan Pengurusan Villa Raintree II,,Malaysia,SIMPANG AMPAT,18/4/2025,25.83,8.96,3.67,94.79,32930.15,3.67,3,3.64,3.276,Normal,0.82,FALSE
THP MEDICAL,,Malaysia,SIMPANG AMPAT,8/1/2024,377.325,165.95,3.64,1372.09,1119728.11,3.64,3,3.64,3.276,Normal,0,FALSE
Jebsen And Jessen Malaysia Sdn Bhd (MHE),,Malaysia,SIMPANG RENGGAM,24/5/2025,184.76,75.89,3.98,734.84,143717.32,3.98,1,3.98,3.582,No comparison required,0,FALSE
ATS AIR SOLUTION,,Malaysia,SUBANG JAYA,8/2/2024,22.23,0.55,2.56,56.93,56919.43,2.56,2,2.6,2.34,Normal,-1.54,FALSE
BOILERMECH LOT 873,,Malaysia,SUBANG JAYA,15/9/2025,280.5,8.33,2.64,740.65,135151.42,2.64,2,2.6,2.34,Normal,1.54,FALSE
KILANG BATU BATA,,Malaysia,SUNGAI SIPUT,27/6/2025,545.505,17.22,3.28,1788.53,470573.57,3.28,1,3.28,2.952,No comparison required,0,FALSE
Farm Fresh Taiping (Factory),,Malaysia,TAIPING,14/6/2024,190.125,75.24,3.19,605.69,453437.44,3.19,3,3.463333333,3.117,Normal,-7.89,FALSE
Farm Fresh Taiping (Farm),,Malaysia,TAIPING,14/6/2024,335.79,130.4,3.05,1023.11,690051.62,3.05,3,3.463333333,3.117,Underperforming,-11.93,TRUE
QL FOODS,,Malaysia,TAIPING,3/10/2024,1704.105,421.52,4.15,7079.7,3210572.91,4.15,3,3.463333333,3.117,Normal,19.83,FALSE
QL TAWAU FEEDMILL,,Malaysia,TAWAU,5/11/2025,317.2,28.97,1.57,496.59,37949.37,1.57,4,2.3875,2.14875,Underperforming,-34.24,TRUE
SABAH CHINESE HIGH SCHOOL (CANTEEN),,Malaysia,TAWAU,8/2/2024,26.91,4.12,1.94,52.12,11946.98,1.94,4,2.3875,2.14875,Underperforming,-18.74,TRUE
SABAH CHINESE HIGH SCHOOL (CULTURE AND EDUCATION),,Malaysia,TAWAU,8/2/2024,94.768,0,1.82,172.27,28878.5,1.82,4,2.3875,2.14875,Underperforming,-23.77,TRUE
SABAH CHINESE HIGH SCHOOL (TAK YUEN BUILDING),,Malaysia,TAWAU,8/2/2024,94.77,3.32,4.22,399.97,64014.1,4.22,4,2.3875,2.14875,Normal,76.75,FALSE
CHAN KAH WHYE,,Malaysia,TELOK PANGLIMA GARANG,20/1/2025,14.75,1.59,3.54,52.28,20425.1,3.54,3,1.873333333,1.686,Normal,88.97,FALSE
DSG Malaysia Sdn. Bhd,,Malaysia,TELOK PANGLIMA GARANG,24/11/2022,2310.255,363.63,2.08,4814.68,6170576.25,2.08,3,1.873333333,1.686,Normal,11.03,FALSE
LAM SOON EDIBLE OILS,,Malaysia,TELOK PANGLIMA GARANG,4/7/2025,86.8,0,0,0,88846.45,0,3,1.873333333,1.686,Underperforming,-100,TRUE
Lau and Tan Pharmacy (1st Floor),,Malaysia,TERENGGANU,22/1/2022,12.375,3.89,4.24,52.47,47513.08,4.24,2,3.625,3.2625,Normal,16.97,FALSE
Lau and Tan Pharmacy (G.Floor),,Malaysia,TERENGGANU,22/1/2022,38.115,12.45,3.01,114.79,175648.02,3.01,2,3.625,3.2625,Underperforming,-16.97,TRUE
WASCO PIPE SDN BHD (COATING),,Malaysia,TUARAN,12/2/2026,350.92,0,0,0,0,0,2,0,0,Normal,,FALSE
WASCO PIPE SDN BHD (MILL),,Malaysia,TUARAN,13/2/2026,850.64,0,0,0,5.05,0,2,0,0,Normal,,FALSE
