plant_name,status,country,city,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city_plant_count,city_avg_psh,threshold_psh,psh_deviation_pct_vs_city_avg,underperforming,performance_status
Farm Fresh Taiping (Factory),Normal,Malaysia,TAIPING,2024-06-14,190.125,6.66,0.58,110.31,459377.4,0.58,3,0.4633333333333334,0.41700000000000004,25.18,False,Normal
Farm Fresh Taiping (Farm),Normal,Malaysia,TAIPING,2024-06-14,335.79,11.05,0.56,188.37,699753.86,0.56,3,0.4633333333333334,0.41700000000000004,20.86,False,Normal
QL FOODS,Normal,Malaysia,TAIPING,2024-10-03,1704.105,480.16,0.25,432.68,3274589.38,0.25,3,0.4633333333333334,0.41700000000000004,-46.04,True,Underperforming
QL TAWAU FEEDMILL,Normal,Malaysia,TAWAU,2025-11-05,317.2,117.2,0.34,108.15,39845.22,0.34,4,1.2225000000000001,1.1002500000000002,-72.19,True,Underperforming
SABAH CHINESE HIGH SCHOOL (CANTEEN),Normal,Malaysia,TAWAU,2024-02-08,26.91,6.54,1.12,30.06,12345.94,1.12,4,1.2225000000000001,1.1002500000000002,-8.38,False,Normal
SABAH CHINESE HIGH SCHOOL (CULTURE AND EDUCATION),Normal,Malaysia,TAWAU,2024-02-08,94.768,25.12,0.93,88.49,30251.15,0.93,4,1.2225000000000001,1.1002500000000002,-23.93,True,Underperforming
SABAH CHINESE HIGH SCHOOL (TAK YUEN BUILDING),Normal,Malaysia,TAWAU,2024-02-08,94.77,40.44,2.5,237.34,66488.45,2.5,4,1.2225000000000001,1.1002500000000002,104.5,False,Normal
CHAN KAH WHYE,Normal,Malaysia,TELOK PANGLIMA GARANG,2025-01-20,14.75,6.64,1.29,19.06,20873.89,1.29,3,0.7666666666666667,0.6900000000000001,68.26,False,Normal
DSG Malaysia Sdn. Bhd,Normal,Malaysia,TELOK PANGLIMA GARANG,2022-11-24,2310.255,626.99,0.92,2125.26,6221365.36,0.92,3,0.7666666666666667,0.6900000000000001,20.0,False,Normal
LAM SOON EDIBLE OILS,Offline,Malaysia,TELOK PANGLIMA GARANG,2025-07-04,86.8,0.0,0.09,8.07,95751.91,0.09,3,0.7666666666666667,0.6900000000000001,-88.26,True,Underperforming
Lau and Tan Pharmacy (1st Floor),Normal,Malaysia,TERENGGANU,2022-01-22,12.375,6.94,1.67,20.67,47872.48,1.67,2,1.4849999999999999,1.3365,12.46,False,Normal
Lau and Tan Pharmacy (G.Floor),Normal,Malaysia,TERENGGANU,2022-01-22,38.115,14.08,1.3,49.47,176549.76,1.3,2,1.4849999999999999,1.3365,-12.46,True,Underperforming
WASCO PIPE SDN BHD (COATING),Offline,Malaysia,TUARAN,2026-02-12,350.92,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,,False,Normal
WASCO PIPE SDN BHD (MILL),Offline,Malaysia,TUARAN,2026-02-13,850.64,0.0,0.0,0.0,5.05,0.0,2,0.0,0.0,,False,Normal
