plant_name,status,country,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
C0172_ATRIA SOUTH,,Malaysia,6/6/2023,287.76,49.88,0.13,37.76,831939.42,0.13,DAMANSARA,3,0.133333333,0.12,Normal,-2.5,FALSE
Restoran Chimaek (Kfry),,Malaysia,25/10/2024,24.4,3.85,0.14,3.38,46194.22,0.14,DAMANSARA,3,0.133333333,0.12,Normal,5,FALSE
QL ENDAU DEEP SEA FISHING,,Malaysia,4/9/2025,897.76,65.47,0.07,65.06,537266.7,0.07,ENDAU,1,0.07,0.063,No comparison required,0,FALSE
PROGUARD SAFETY MANUFACTURING SDN BHD,,Malaysia,30/12/2022,202.195,29.36,0.15,29.36,559191.07,0.15,HULU LANGAT,1,0.15,0.135,No comparison required,0,FALSE
GLASS PLASTIC PACKAGING,,Malaysia,19/4/2025,704.94,122.56,0.16,111.77,805807.75,0.16,IPOH,3,0.143333333,0.129,Normal,11.63,FALSE
SWH INDUSTRIES (PLOT 132113),,Malaysia,21/5/2024,752.98,107.71,0.16,116.97,1657352.83,0.16,IPOH,3,0.143333333,0.129,Normal,11.63,FALSE
SWH INDUSTRIES (PLOT6311),,Malaysia,15/1/2025,204.96,25.85,0.11,23.09,317747.46,0.11,IPOH,3,0.143333333,0.129,Underperforming,-23.26,TRUE
Pleasure Latex,,Malaysia,25/7/2023,520.3,77.82,0.14,75.29,1692307.05,0.14,JERAM,2,0.07,0.063,Normal,100,FALSE
Pleasure Latex Phase 2,,Malaysia,20/12/2024,1010.295,0,0,0,0,0,JERAM,2,0.07,0.063,Underperforming,-100,TRUE
FOX ONE LOT 14,,Malaysia,13/8/2025,91.76,17.68,0.17,15.93,56754.41,0.17,KAJANG,9,0.133333333,0.12,Normal,27.5,FALSE
FOX ONE LOT 8,,Malaysia,28/1/2026,91.76,17.87,0.17,16.04,17980.62,0.17,KAJANG,9,0.133333333,0.12,Normal,27.5,FALSE
IOI Knowledge Vision Sdn Bhd,,Malaysia,19/6/2025,71.92,6.67,0.08,6.08,75171,0.08,KAJANG,9,0.133333333,0.12,Underperforming,-40,TRUE
IOI Mayang Development,,Malaysia,18/7/2025,71.92,12.6,0.04,3.01,47579.75,0.04,KAJANG,9,0.133333333,0.12,Underperforming,-70,TRUE
LKW FROZEN SDN BHD,,Malaysia,12/5/2024,54.99,8.59,0.15,8.19,92580.28,0.15,KAJANG,9,0.133333333,0.12,Normal,12.5,FALSE
P.A. FOOD SDN. BHD.,,Malaysia,7/5/2024,25.155,4.25,0.15,3.85,61773.76,0.15,KAJANG,9,0.133333333,0.12,Normal,12.5,FALSE
UCS_Block A,,Malaysia,24/7/2022,125,18.91,0.14,17.55,482428.87,0.14,KAJANG,9,0.133333333,0.12,Normal,5,FALSE
UCS_Block B,,Malaysia,24/7/2022,135,21.69,0.15,20.13,559811.62,0.15,KAJANG,9,0.133333333,0.12,Normal,12.5,FALSE
UCS_Block C,,Malaysia,24/7/2022,185.5,29.12,0.15,26.92,771217.99,0.15,KAJANG,9,0.133333333,0.12,Normal,12.5,FALSE
FDP AND MTB INDUSTRIES SDN BHD,,Malaysia,25/1/2026,186,0,0,0,6803.17,0,KERLING,1,0,0,No comparison required,,FALSE
AMT PC DISTRIBUTORS SDN. BHD.,,Malaysia,4/1/2024,88.335,17.97,0.14,12.63,248008.04,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
ASHITA COMMUNICATION,,Malaysia,3/11/2025,91.76,0,0,0,0,0,KLANG,32,0.1228125,0.11053125,Underperforming,-100,TRUE
ASIA WIRE STEEL MESH MANUFACTURERS SDN BHD,,Malaysia,3/3/2026,908.97,199.94,0.15,135.02,130372.81,0.15,KLANG,32,0.1228125,0.11053125,Normal,22.14,FALSE
Advance Vi Tech Lot 1629,,Malaysia,27/10/2024,240.13,44.95,0.14,33.36,387083.01,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
BUNCHO (M) SDN BHD,,Malaysia,1/10/2025,91.14,18.62,0.14,12.67,23876.48,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
Hoon Yuen Furniture,,Malaysia,20/11/2023,88.335,17.18,0.13,11.53,235740.03,0.13,KLANG,32,0.1228125,0.11053125,Normal,5.85,FALSE
KCCCI 2FLOOR,,Malaysia,27/3/2025,4.13,0.67,0.12,0.5,4813.68,0.12,KLANG,32,0.1228125,0.11053125,Normal,-2.29,FALSE
KCCCI First Floor,,Malaysia,27/3/2025,15.34,2.71,0.13,2.04,19465.49,0.13,KLANG,32,0.1228125,0.11053125,Normal,5.85,FALSE
KCCCI Ground Floor,,Malaysia,27/3/2025,3.54,0.52,0.11,0.4,4125.63,0.11,KLANG,32,0.1228125,0.11053125,Underperforming,-10.43,TRUE
Kamma Klang Enterprise,,Malaysia,28/3/2023,88,17.46,0.14,12.58,326635.89,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
Kwang Hua Persendirian  meter  2-3-4-5-6,,Malaysia,4/3/2022,302.475,37.13,0.1,29.38,1091003.19,0.1,KLANG,32,0.1228125,0.11053125,Underperforming,-18.58,TRUE
Lian Teck Seng Lot 11,,Malaysia,6/5/2025,18.04,0,0,0,0,0,KLANG,32,0.1228125,0.11053125,Underperforming,-100,TRUE
MEWAH OILS SDN BHD,,Malaysia,1/12/2025,220.1,0,0,0,0,0,KLANG,32,0.1228125,0.11053125,Underperforming,-100,TRUE
MIAW FRESH,,Malaysia,31/5/2024,24.57,5.01,0.14,3.42,54897.33,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
Maxtwo Engineering (Factory),,Malaysia,21/4/2025,35.38,0,0.15,5.17,31711.59,0.15,KLANG,32,0.1228125,0.11053125,Normal,22.14,FALSE
PKT THE SHIP,,Malaysia,21/1/2025,1068.21,168.17,0.13,133.66,1149573.51,0.13,KLANG,32,0.1228125,0.11053125,Normal,5.85,FALSE
ROYAL KLANG CLUB,,Malaysia,14/7/2025,91.76,18.26,0.13,12.31,76911.77,0.13,KLANG,32,0.1228125,0.11053125,Normal,5.85,FALSE
RS POLY INDUSTRY,,Malaysia,2/8/2024,727.155,145.99,0.15,106.18,1353124.13,0.15,KLANG,32,0.1228125,0.11053125,Normal,22.14,FALSE
SIME KANSAI PAINT SDN BHD,,Malaysia,17/9/2025,123.825,21.48,0.14,17.22,87272.07,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
SJK (C) WU TECK,,Malaysia,25/12/2025,71.92,18.11,0.16,11.52,30599.24,0.16,KLANG,32,0.1228125,0.11053125,Normal,30.28,FALSE
SJK （ C ） PIN HWA 1,,Malaysia,23/9/2025,183.52,33.67,0.14,26.18,89587.78,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
SM Chung Chung Hua (PSDN) Klang,,Malaysia,14/2/2022,420.195,80.21,0.13,55.98,276778.84,0.13,KLANG,32,0.1228125,0.11053125,Normal,5.85,FALSE
SP Logistics Sdn Bhd,,Malaysia,14/6/2024,90.675,18.94,0.12,11.18,190399.16,0.12,KLANG,32,0.1228125,0.11053125,Normal,-2.29,FALSE
TOMEI,,Malaysia,7/11/2024,215.28,37.63,0.13,28.4,323246.85,0.13,KLANG,32,0.1228125,0.11053125,Normal,5.85,FALSE
Tembikar Wei Khing,,Malaysia,27/1/2025,977.22,197.53,0.15,147.42,1028312.29,0.15,KLANG,32,0.1228125,0.11053125,Normal,22.14,FALSE
Tong Seh,,Malaysia,18/1/2024,260.91,55.03,0.14,36.45,637874.29,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
UC BLASTING PAINTING,,Malaysia,8/5/2024,219.96,40.57,0.15,32.93,538543.26,0.15,KLANG,32,0.1228125,0.11053125,Normal,22.14,FALSE
VINDA PHASE 4 (MSB 3-2),,Malaysia,6/3/2026,2119.14,433.79,0.14,289.67,189980.66,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
VISKO INDUSTRIES SDN BHD,,Malaysia,7/7/2023,948.75,150.34,0.13,127.2,3163928.58,0.13,KLANG,32,0.1228125,0.11053125,Normal,5.85,FALSE
Vinda  Phase 1 and 2 (MSB 2),,Malaysia,20/8/2023,2561.65,548.72,0.14,363.65,6970748.81,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
Vinda Phase 3 (MSB 3-1),,Malaysia,28/6/2024,1502.28,325.93,0.14,216.25,4600715.06,0.14,KLANG,32,0.1228125,0.11053125,Normal,13.99,FALSE
kwang hua persendirian meter 1,,Malaysia,4/3/2022,73.03,11.04,0.12,8.64,334919.72,0.12,KLANG,32,0.1228125,0.11053125,Normal,-2.29,FALSE
Apex Uniparts,,Malaysia,28/5/2024,41.535,3.94,0.09,3.8,91929.31,0.09,KLUANG,3,0.076666667,0.069,Normal,17.39,FALSE
Kluang Coffee Powder,,Malaysia,28/5/2024,25.135,2.18,0.08,2.08,61103,0.08,KLUANG,3,0.076666667,0.069,Normal,4.35,FALSE
SAWIPAC SDN BHD,,Malaysia,4/9/2025,44.28,2.98,0.06,2.49,28973.9,0.06,KLUANG,3,0.076666667,0.069,Underperforming,-21.74,TRUE
CHYE JOO HIANG SDN. BHD. (Meter 1),,Malaysia,22/2/2025,25.83,12.53,0.4,10.42,37947.74,0.4,KOTA BHARU,3,0.23,0.207,Normal,73.91,FALSE
SWEE CHEONG WATCH SDN BHD (Meter 1),,Malaysia,30/10/2024,8.85,2.01,0.15,1.36,11280.57,0.15,KOTA BHARU,3,0.23,0.207,Underperforming,-34.78,TRUE
SWEE CHEONG WATCH SDN BHD (Meter 2),,Malaysia,30/10/2024,8.85,1.91,0.14,1.2,10592.99,0.14,KOTA BHARU,3,0.23,0.207,Underperforming,-39.13,TRUE
SUCCESS ELECTRONIC LOT 3,,Malaysia,29/12/2025,251.72,40.02,0.14,36.14,68500.27,0.14,KOTA DAMANSARA,2,0.14,0.126,Normal,0,FALSE
SUCCESS ELECTRONIC LOT 7,,Malaysia,31/12/2025,395.56,62.54,0.14,56.16,89215.5,0.14,KOTA DAMANSARA,2,0.14,0.126,Normal,0,FALSE
QL AGROFOOD SDN BHD,,Malaysia,25/6/2025,409.92,78.67,0.29,120.79,254933.75,0.29,KOTA KINABALU,1,0.29,0.261,No comparison required,0,FALSE
Kiara Bay,,Malaysia,21/1/2025,1004.18,143.81,0.14,141.96,1274997.75,0.14,KUALA LUMPUR,3,0.143333333,0.129,Normal,-2.33,FALSE
Menara PJD,,Malaysia,18/5/2024,80.145,13.77,0.14,11.41,148803.8,0.14,KUALA LUMPUR,3,0.143333333,0.129,Normal,-2.33,FALSE
Toa Paint Kepong Warehouse,,Malaysia,2/11/2023,25.74,3.91,0.15,3.84,75133.6,0.15,KUALA LUMPUR,3,0.143333333,0.129,Normal,4.65,FALSE
QL ENDAU MARINE,,Malaysia,1/8/2025,430.28,31.07,0.07,31.98,434101.08,0.07,KUALA ROMPIN,2,0.07,0.063,Normal,0,FALSE
TIMURIKAN TRENGGANU MARINE PRODUCTS SDN BHD,,Malaysia,8/12/2025,260.4,18.04,0.07,18.82,10087.83,0.07,KUALA ROMPIN,2,0.07,0.063,Normal,0,FALSE
AFI BRAKE MANUFACTURING SDN BHD,,Malaysia,2/10/2023,454.3,106.85,0.21,94.02,1269071.72,0.21,KUALA TERENGGANU,3,0.13,0.117,Normal,61.54,FALSE
AFI METAL,,Malaysia,14/3/2024,55.35,11.03,0.18,10.03,117727.11,0.18,KUALA TERENGGANU,3,0.13,0.117,Normal,38.46,FALSE
REDANG LAGOON RESORT,,Malaysia,16/2/2023,53.41,0,0,0,0,0,KUALA TERENGGANU,3,0.13,0.117,Underperforming,-100,TRUE
C0156_DENIM CODE,,Malaysia,4/9/2022,86.445,24.6,0.23,19.75,366942.91,0.23,KULIM,1,0.23,0.207,No comparison required,0,FALSE
Eco Oils - Lahad Datu,,Malaysia,15/10/2024,39.78,10.27,0.2,7.9,56598.93,0.2,LAHAD DATU,1,0.2,0.18,No comparison required,0,FALSE
Lunas Jaya Petrol Sdn Bhd,,Malaysia,19/3/2025,25.86,6.8,0.23,5.88,30105.28,0.23,LUNAS,1,0.23,0.207,No comparison required,0,FALSE
QL PAJAM PHASE 2,,Malaysia,5/8/2025,566.68,105.29,0.17,94.75,403294.44,0.17,MANTIN,1,0.17,0.153,No comparison required,0,FALSE
Fibertex Phase 2,,Malaysia,30/8/2024,1251.704,275.92,0.2,247.8,2983111.68,0.2,NILAI,2,0.17,0.153,Normal,17.65,FALSE
WEIDA MARKETING SDN. BHD.,,Malaysia,1/12/2022,500.31,78.75,0.14,70.46,1658699.29,0.14,NILAI,2,0.17,0.153,Underperforming,-17.65,TRUE
KLH Sdn Bhd,,Malaysia,5/9/2024,265.005,102.54,0.3,79.46,422200.79,0.3,PADANG SERAI,1,0.3,0.27,No comparison required,0,FALSE
QL AGROVENTURE,,Malaysia,19/5/2022,418.965,75.81,0.19,81.57,1331263.86,0.19,PAPAR,1,0.19,0.171,No comparison required,0,FALSE
ECOOILS (PHASE 2) - P.GUDANG,,Malaysia,13/12/2024,38.61,6.19,0.12,4.7,39018.62,0.12,PASIR GUDANG,4,0.13,0.117,Normal,-7.69,FALSE
IOI PAN - CENTURY,,Malaysia,31/5/2023,116.815,32.26,0.2,23.81,264156.35,0.2,PASIR GUDANG,4,0.13,0.117,Normal,53.85,FALSE
KISWIRE CORD PHASE 1 (DATA),,Malaysia,24/10/2023,1248.5,0,0,0,0,0,PASIR GUDANG,4,0.13,0.117,Underperforming,-100,TRUE
KISWIRE CORD SDN BHD,,Malaysia,3/12/2024,4732.09,1217.3,0.2,966.51,4713900.55,0.2,PASIR GUDANG,4,0.13,0.117,Normal,53.85,FALSE
KB AIS SDN. BHD.,,Malaysia,23/7/2022,49.05,14.28,0.15,7.23,228211,0.15,PASIR MAS,1,0.15,0.135,No comparison required,0,FALSE
BRC INDUSTRIES,,Malaysia,26/5/2024,162.63,0,0,0,385935.78,0,PENANG,3,0.106666667,0.096,Underperforming,-100,TRUE
LEAN GIAP ENTERPRISE SDN BHD,,Malaysia,13/3/2024,7.02,0.87,0.12,0.87,19127.75,0.12,PENANG,3,0.106666667,0.096,Normal,12.5,FALSE
PKT 12 WAVES,,Malaysia,5/2/2025,1337.31,285.8,0.2,267.87,1237074.18,0.2,PENANG,3,0.106666667,0.096,Normal,87.5,FALSE
Pengerang Independent Terminal,,Malaysia,24/10/2024,718.965,189.54,0.2,142.81,1155309.9,0.2,PENGERANG,1,0.2,0.18,No comparison required,0,FALSE
CHYE JOO HIANG SDN. BHD. (Meter 2),,Malaysia,20/2/2025,25.83,4.26,0.12,3.02,39573.29,0.12,PENGKALAN CHEPA,1,0.12,0.108,No comparison required,0,FALSE
Durasafe Sdn. Bhd.,,Malaysia,2/12/2024,91.5,18.47,0.18,16.68,166978.37,0.18,PERAI,3,0.18,0.162,Normal,0,FALSE
Multi Choice (M) Sdn Bhd,,Malaysia,26/10/2025,423.46,82.3,0.19,79.28,153437.46,0.19,PERAI,3,0.18,0.162,Normal,5.56,FALSE
Teong Huat Medical,,Malaysia,26/11/2025,349.32,66.83,0.17,58.05,61356.11,0.17,PERAI,3,0.18,0.162,Normal,-5.56,FALSE
Gemilite Sdn Berhad,,Malaysia,20/2/2025,39.36,6.82,0.14,5.38,49693.37,0.14,PETALING JAYA,3,0.093333333,0.084,Normal,50,FALSE
MENARA PKNS PJ,,Malaysia,11/2/2026,112.32,0,0,0,2181.01,0,PETALING JAYA,3,0.093333333,0.084,Underperforming,-100,TRUE
SUCCESS ELECTRONIC LOT 5,,Malaysia,29/12/2025,80.6,12.76,0.14,11.65,15194.03,0.14,PETALING JAYA,3,0.093333333,0.084,Normal,50,FALSE
Fungiculture,,Malaysia,10/6/2023,262.515,57.47,0.14,37.15,945234.02,0.14,PORT KLANG,6,0.138333333,0.1245,Normal,1.2,FALSE
JY1,,Malaysia,6/3/2023,259.42,57,0.14,36.32,964623.52,0.14,PORT KLANG,6,0.138333333,0.1245,Normal,1.2,FALSE
JY1(2),,Malaysia,7/10/2025,140.74,30.38,0.14,19.53,96014.28,0.14,PORT KLANG,6,0.138333333,0.1245,Normal,1.2,FALSE
JY2,,Malaysia,10/3/2023,397.305,91.88,0.14,56.82,1453198.81,0.14,PORT KLANG,6,0.138333333,0.1245,Normal,1.2,FALSE
Jaya Nets,,Malaysia,15/7/2024,99,18.61,0.12,11.93,197249.93,0.12,PORT KLANG,6,0.138333333,0.1245,Underperforming,-13.25,TRUE
SJK (C) TSHING NIAN,,Malaysia,2/2/2026,48.36,9.95,0.15,7.18,8486.72,0.15,PORT KLANG,6,0.138333333,0.1245,Normal,8.43,FALSE
AMEBA MGMT,,Malaysia,30/1/2024,18.72,3.1,0.13,2.52,34166.71,0.13,PUCHONG,6,0.136666667,0.123,Normal,-4.88,FALSE
IOI Mall Puchong (New Wing),,Malaysia,14/1/2025,544.275,100.5,0.15,80.59,850576.37,0.15,PUCHONG,6,0.136666667,0.123,Normal,9.76,FALSE
IOI Mall Puchong (New Wing) Phase 2,,Malaysia,19/3/2026,2380.8,311.04,0.11,251,58653.53,0.11,PUCHONG,6,0.136666667,0.123,Underperforming,-19.51,TRUE
IOI Mall Puchong (Old Wing),,Malaysia,25/4/2025,2193.09,357.7,0.13,288.02,2225545.93,0.13,PUCHONG,6,0.136666667,0.123,Normal,-4.88,FALSE
MCC TECHNIQUE SDN BHD LOT 10,,Malaysia,18/8/2025,31,5.74,0.15,4.8,21436.17,0.15,PUCHONG,6,0.136666667,0.123,Normal,9.76,FALSE
MCC TECHNIQUE SDN BHD LOT 12,,Malaysia,18/8/2025,31,5.53,0.15,4.62,21153.86,0.15,PUCHONG,6,0.136666667,0.123,Normal,9.76,FALSE
BREMFIELD SDN BHD,,Malaysia,2/5/2024,150.93,22.97,0.13,19.12,380576.45,0.13,PULAU INDAH,3,0.12,0.108,Normal,8.33,FALSE
C0149_VERTEX MISSION,,Malaysia,18/8/2022,25.175,3.74,0.12,3.08,90739.98,0.12,PULAU INDAH,3,0.12,0.108,Normal,0,FALSE
C150_VERTEX MISSION,,Malaysia,17/8/2022,72.2,9.43,0.11,8.01,309537.03,0.11,PULAU INDAH,3,0.12,0.108,Normal,-8.33,FALSE
FUJI M1,,Malaysia,23/12/2023,265.005,33.62,0.12,30.52,717345.54,0.12,PUNCAK ALAM,4,0.11,0.099,Normal,9.09,FALSE
FUJI M2,,Malaysia,18/4/2024,264.42,34.65,0.12,31.82,563994.51,0.12,PUNCAK ALAM,4,0.11,0.099,Normal,9.09,FALSE
FUJI M3,,Malaysia,4/2/2024,264.89,17.09,0.06,15.9,388611.94,0.06,PUNCAK ALAM,4,0.11,0.099,Underperforming,-45.45,TRUE
FUJI M4,,Malaysia,12/12/2025,133.92,21.1,0.14,18.9,54922.31,0.14,PUNCAK ALAM,4,0.11,0.099,Normal,27.27,FALSE
IOI City Mall Inc. Feeder 1,,Malaysia,7/11/2024,3049.605,573.2,0.16,501.63,5417741.85,0.16,PUTRAJAYA,3,0.163333333,0.147,Normal,-2.04,FALSE
IOI City Mall Inc. Feeder 2,,Malaysia,7/11/2024,1019.07,194.85,0.17,171.08,1646952.77,0.17,PUTRAJAYA,3,0.163333333,0.147,Normal,4.08,FALSE
IOI Resort Villa Golf Course,,Malaysia,12/3/2024,250.38,47.27,0.16,40.91,461890.77,0.16,PUTRAJAYA,3,0.163333333,0.147,Normal,-2.04,FALSE
MARINE GOLD SDN BHD,,Malaysia,28/10/2023,148.5,0,0,0,0,0,RAWANG,6,0.098333333,0.0885,Underperforming,-100,TRUE
SCENT PUR MANUFACTURING SDN BHD NO.35,,Malaysia,26/9/2024,12.39,1.87,0.13,1.57,25822.76,0.13,RAWANG,6,0.098333333,0.0885,Normal,32.2,FALSE
SCENT PUR MANUFACTURING SDN BHD NO.37,,Malaysia,26/9/2024,12.39,1.85,0.12,1.53,25612.14,0.12,RAWANG,6,0.098333333,0.0885,Normal,22.03,FALSE
WCS UNIT 6,,Malaysia,4/2/2024,21.06,2.32,0.11,2.36,51281.58,0.11,RAWANG,6,0.098333333,0.0885,Normal,11.86,FALSE
WCS UNIT 7,,Malaysia,4/2/2024,16.38,1.82,0.11,1.85,40420.02,0.11,RAWANG,6,0.098333333,0.0885,Normal,11.86,FALSE
WCS_Home,,Malaysia,13/9/2024,8.85,1.15,0.12,1.1,16432.53,0.12,RAWANG,6,0.098333333,0.0885,Normal,22.03,FALSE
BM COCO MARKETING,,Malaysia,29/10/2023,25.52,2.51,0.12,3.17,73994.41,0.12,RENGIT,3,0.133333333,0.12,Normal,-10,FALSE
BM COCO PALM,,Malaysia,29/10/2023,25.52,2.35,0.11,2.77,78512.55,0.11,RENGIT,3,0.133333333,0.12,Underperforming,-17.5,TRUE
Chong Hwa SBR Rengit,,Malaysia,28/5/2024,25.155,2.9,0.17,4.22,54712.6,0.17,RENGIT,3,0.133333333,0.12,Normal,27.5,FALSE
SUPERCOWBOY (SEGAMAT),,Malaysia,23/7/2025,250.75,26.05,0.08,20.42,234224.09,0.08,SEGAMAT,1,0.08,0.072,No comparison required,0,FALSE
Dong Sing Food Link Sdn Bhd,,Malaysia,8/12/2025,71.92,14.82,0.15,11.04,24276.32,0.15,SEMENYIH,8,0.1725,0.15525,Underperforming,-13.04,TRUE
FOX ONE MARKETING SDN BHD,,Malaysia,6/1/2025,91.5,16.81,0.17,15.26,108796.35,0.17,SEMENYIH,8,0.1725,0.15525,Normal,-1.45,FALSE
P.A Food Sdn Bhd 2ATKT,,Malaysia,5/8/2024,47.97,8.8,0.16,7.87,92718.17,0.16,SEMENYIH,8,0.1725,0.15525,Normal,-7.25,FALSE
P.A Food Sdn Bhd Lot 10,,Malaysia,5/8/2024,52.65,14.29,0.19,10.03,96928.75,0.19,SEMENYIH,8,0.1725,0.15525,Normal,10.14,FALSE
P.A Food Sdn Bhd Lot 12,,Malaysia,5/8/2024,51.48,11.83,0.17,8.95,88488.74,0.17,SEMENYIH,8,0.1725,0.15525,Normal,-1.45,FALSE
P.A. Food Warehouse No. 9,,Malaysia,28/8/2024,21.06,3.6,0.15,3.22,39311.95,0.15,SEMENYIH,8,0.1725,0.15525,Underperforming,-13.04,TRUE
YAN JIAN 2,,Malaysia,8/8/2025,63.86,15.48,0.21,13.25,47516.69,0.21,SEMENYIH,8,0.1725,0.15525,Normal,21.74,FALSE
YAN JIAN 2A,,Malaysia,8/8/2025,74.4,16.06,0.18,13.51,65590.52,0.18,SEMENYIH,8,0.1725,0.15525,Normal,4.35,FALSE
Lybase Sdn Bhd,,Malaysia,4/11/2024,400.14,88.24,0.16,65.41,384652.28,0.16,SENAI,2,0.08,0.072,Normal,100,FALSE
SUPERMICRO COMPUTER SDN BHD,,Malaysia,16/8/2025,2550.85,0,0,0,1457532.16,0,SENAI,2,0.08,0.072,Underperforming,-100,TRUE
Enge Plas,,Malaysia,10/12/2024,302.4,49.79,0.14,43.29,436830.7,0.14,SENAWANG,1,0.14,0.126,No comparison required,0,FALSE
CIC CONTRACT SDN BHD,,Malaysia,14/12/2023,20.475,3.89,0.17,3.55,57407.37,0.17,SERI KEMBANGAN,1,0.17,0.153,No comparison required,0,FALSE
BJC FOOD (MALAYSIA) SDN. BHD.,,Malaysia,10/1/2023,320.46,41.84,0.1,32.76,1081069.19,0.1,SHAH ALAM,13,0.118461538,0.106615385,Underperforming,-15.58,TRUE
KUASA BAKTI (PETRON SETIA ALAM),,Malaysia,27/8/2025,44.64,7.99,0.14,6.11,25357.58,0.14,SHAH ALAM,13,0.118461538,0.106615385,Normal,18.18,FALSE
Marbach Asia Pacific Lot17,,Malaysia,26/12/2024,50.02,7.29,0.12,5.83,73529.68,0.12,SHAH ALAM,13,0.118461538,0.106615385,Normal,1.3,FALSE
Marbach Asia Pacific lot 15,,Malaysia,26/12/2024,50.05,7.77,0.13,6.35,75990.8,0.13,SHAH ALAM,13,0.118461538,0.106615385,Normal,9.74,FALSE
Mitsui Copper Foil P3,,Malaysia,26/6/2025,706.33,129.01,0.15,106.72,665734.9,0.15,SHAH ALAM,13,0.118461538,0.106615385,Normal,26.62,FALSE
New Age 160,,Malaysia,17/12/2024,166.67,24.87,0.13,22.18,265987.48,0.13,SHAH ALAM,13,0.118461538,0.106615385,Normal,9.74,FALSE
New Age 510,,Malaysia,18/11/2024,127.92,19.31,0.13,17.08,237176.13,0.13,SHAH ALAM,13,0.118461538,0.106615385,Normal,9.74,FALSE
PKT 8 WAVES,,Malaysia,13/8/2024,176.67,0,0,0.09,240523.26,0,SHAH ALAM,13,0.118461538,0.106615385,Underperforming,-100,TRUE
QL Maxincome,,Malaysia,5/3/2025,79.3,12.01,0.12,9.62,103138.16,0.12,SHAH ALAM,13,0.118461538,0.106615385,Normal,1.3,FALSE
Ql Lot 14,,Malaysia,24/2/2025,61.61,9.25,0.12,7.28,77759.11,0.12,SHAH ALAM,13,0.118461538,0.106615385,Normal,1.3,FALSE
