plant_name,status,country,grid_connection_date,total_string_capacity_kwp,current_power_kw,specific_energy_kwh_kwp,yield_today_kwh,total_yield_kwh,psh,city,city_plant_count,city_avg_psh,threshold_psh,performance_status,psh_deviation_pct_vs_city_avg,underperforming
TS United Metal,,Malaysia,16/5/2024,25.155,3.84,0.13,3.31,66890.9,0.13,ALOR  GAJAH,1,0.13,0.117,No comparison required,0,FALSE
Sedania Bank Islam Bandar Penawar Meter 1,,Malaysia,28/4/2025,15.47,0,0,0,0,0,BANDAR PENAWAR,2,0,0,Normal,,FALSE
Sedania Bank Islam Bandar Penawar Meter 2,,Malaysia,29/4/2025,15.47,0,0,0,0,0,BANDAR PENAWAR,2,0,0,Normal,,FALSE
Komplex PKNS Bangi,,Malaysia,4/9/2024,379.08,65.2,0.16,59.2,414113.56,0.16,BANGI,1,0.16,0.144,No comparison required,0,FALSE
Jiann Lih safety product,,Malaysia,21/3/2024,475.605,97.47,0.17,82.71,773868.76,0.17,BANTING,1,0.17,0.153,No comparison required,0,FALSE
C0102_QL batang kali,,Malaysia,24/2/2022,526,0,0,0,0,0,BATANG KALI,1,0,0,No comparison required,,FALSE
BP PLASTICS BP9,,Malaysia,22/7/2025,2979.1,481.03,0.14,421.76,2969237.69,0.14,BATU PAHAT,3,0.103333333,0.093,Normal,35.48,FALSE
BP PLASTICS HQ,,Malaysia,16/1/2025,1063.425,0,0.02,23.76,1716452.91,0.02,BATU PAHAT,3,0.103333333,0.093,Underperforming,-80.65,TRUE
CK PACKAGING AND PLASTIC INDUSTRIES,,Malaysia,19/1/2026,138.88,23.36,0.15,20.74,43561.66,0.15,BATU PAHAT,3,0.103333333,0.093,Normal,45.16,FALSE
GUH METER 1,,Malaysia,29/4/2024,210.6,47.42,0.18,37.71,512118.43,0.18,BAYAN LEPAS,3,0.113333333,0.102,Normal,58.82,FALSE
GUH METER 2,,Malaysia,29/4/2024,278.46,57.15,0.16,45.46,637116.97,0.16,BAYAN LEPAS,3,0.113333333,0.102,Normal,41.18,FALSE
GUH METER 3,,Malaysia,4/5/2024,534.69,0,0,0,1256179.92,0,BAYAN LEPAS,3,0.113333333,0.102,Underperforming,-100,TRUE
Telewiring,,Malaysia,16/5/2024,25.155,3.66,0.13,3.2,63521.44,0.13,CHENG,1,0.13,0.117,No comparison required,0,FALSE
C0176_GETHA,,Malaysia,1/3/2023,178.215,31.97,0.18,31.28,579210.68,0.18,CHERAS,1,0.18,0.162,No comparison required,0,FALSE
C0172_ATRIA NORTH,,Malaysia,6/6/2023,130.8,21.67,0.13,16.7,379742.34,0.13,DAMANSARA,3,0.133333333,0.12,Normal,-2.5,FALSE
